Team,Prior,In_Season,Temp,weight50,Blend
Air Force,83,33,39,61,67
Akron,103,71,77,90,89
Alabama,1,3,3,2,2
Appalachian State,74,13,18,46,41
Arizona,43,74,67,55,58
Arizona State,22,72,69,45.5,40
Arkansas,14,35,33,23.5,18
Arkansas State,82,50,61,71.5,75
Army,119,104,101,110,110
Auburn,6,62,62,34,27
Ball State,92,109,109,100.5,101
Baylor,13,5,4,8.5,4
Boise State,42,28,23,32.5,25
Boston College,53,76,71,62,68
Bowling Green,104,7,9,56.5,62
Brigham Young,50,53,60,55,58
Buffalo,121,95,90,105.5,106
California,31,48,42,36.5,30
Central Michigan,91,79,76,83.5,86
Cincinnati,72,61,48,60,63
Clemson,17,6,5,11,8
Colorado,62,87,88,75,78
Colorado State,86,63,65,75.5,79
Connecticut,114,85,86,100,100
Duke,61,69,59,60,63
East Carolina,70,59,64,67,73
Eastern Michigan,125,119,120,122.5,127
Florida,24,38,13,18.5,14
Florida Atlantic,98,94,98,98,98
Florida International,90,105,99,94.5,92
Florida State,16,9,10,13,9
Fresno State,94,114,112,103,105
Georgia,4,22,31,17.5,13
Georgia Southern,68,30,16,42,33
Georgia State,124,65,80,102,104
Georgia Tech,25,73,74,49.5,50
Hawaii,110,120,117,113.5,118
Houston,88,19,14,51,53
Idaho,112,107,111,111.5,114
Illinois,56,75,72,64,69
Indiana,58,70,73,65.5,72
Iowa,51,17,17,34,27
Iowa State,71,80,75,73,77
Kansas,97,127,127,112,115
Kansas State,33,78,66,49.5,50
Kent State,109,123,123,116,122
Kentucky,46,100,97,71.5,75
Louisiana Tech,54,42,22,38,31
Louisiana-Lafayette,89,98,91,90,89
Louisiana-Monroe,106,124,125,115.5,120
Louisville,35,46,49,42,33
LSU,3,43,36,19.5,15
Marshall,49,47,46,47.5,45
Maryland,73,84,82,77.5,81
Massachusetts,101,90,94,97.5,96
Memphis,69,25,34,51.5,55
Miami (FL),28,81,78,53,57
Miami (OH),115,112,115,115,119
Michigan,39,11,7,23,16
Michigan State,10,37,53,31.5,24
Middle Tennessee,81,67,81,81,85
Minnesota,40,60,56,48,47
Mississippi State,21,29,30,25.5,19
Missouri,27,91,83,55,58
Navy,84,12,19,51.5,55
Nebraska,34,57,55,44.5,38
Nevada,93,93,96,94.5,92
New Mexico,99,92,95,97,95
New Mexico State,120,118,122,121,126
North Carolina,45,15,25,35,29
North Carolina State,41,40,24,32.5,25
North Texas,117,121,119,118,125
Northern Illinois,78,58,43,60.5,65
Northwestern,60,66,68,64,69
Notre Dame,9,10,8,8.5,4
Ohio,87,68,70,78.5,82
Ohio State,2,1,1,1.5,1
Oklahoma,7,2,2,4.5,3
Oklahoma State,32,44,27,29.5,22
Old Dominion,111,113,113,112,115
Ole Miss,12,4,6,9,6
Oregon,19,41,41,30,23
Oregon State,85,117,110,97.5,96
Penn State,36,56,51,43.5,36
Pittsburgh,47,45,45,46,41
Purdue,66,102,105,85.5,88
Rice,95,115,116,105.5,106
Rutgers,77,111,114,95.5,94
San Diego State,63,26,32,47.5,45
San Jose State,105,86,93,99,99
South Alabama,118,103,102,110,110
South Carolina,44,83,84,64,69
South Florida,100,34,57,78.5,82
Southern Methodist,127,108,107,117,124
Southern Miss,108,24,50,79,84
Stanford,20,14,12,16,12
Syracuse,75,89,92,83.5,86
TCU,5,16,15,10,7
Temple,55,32,44,49.5,50
Tennessee,8,20,21,14.5,11
Texas,23,82,87,55,58
Texas A&M,18,54,58,38,31
Texas State,102,116,118,110,110
Texas Tech,38,52,52,45,39
Toledo,64,21,28,46,41
Troy,126,77,85,105.5,106
Tulane,96,125,121,108.5,109
Tulsa,113,96,89,101,102
UCF,79,126,124,101.5,103
UCLA,11,36,35,23,16
UNLV,123,110,108,115.5,120
USC,15,23,11,13,9
Utah,37,55,47,42,33
Utah State,65,49,37,51,53
UTEP,107,122,126,116.5,123
UTSA,122,106,103,112.5,117
Vanderbilt,57,88,79,68,74
Virginia,52,97,100,76,80
Virginia Tech,30,64,63,46.5,44
Wake Forest,80,99,106,93,91
Washington,48,31,40,44,37
Washington State,67,51,54,60.5,65
West Virginia,29,18,29,29,21
Western Kentucky,76,8,20,48,47
Western Michigan,59,39,38,48.5,49
Wisconsin,26,27,26,26,20
Wyoming,116,101,104,110,110
